smiles,property_value_median
*c1cccc(c1)OCCCCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0637
*c1cccc(c1)OCCCCCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0657
*c1cccc(c1)OCCCCCCCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0579
*c1ccc(cc1)OCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0951
*c1ccc(cc1)OCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0755
*c1ccc(cc1)OCCCCCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0716
*c1ccc(cc1)OCCCCCCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0804
*c1ccc(cc1)OCCCCCCCCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.0717
*c1cccc(c1)OCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0961
*c1cccc(c1)OCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0853
*c1cccc(c1)OCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0834
*c1cccc(c1)OCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0814
*c1cccc(c1)OCCCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0755
*c1cccc(c1)OCCCCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0667
*c1cccc(c1)OCCCCCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0628
*c1cccc(c1)OCCCCCCCCCCCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0569
*c1ccc(cc1)OCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.104
*c1ccc(cc1)OCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0863
*c1ccc(cc1)OCCCCCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0686
*c1ccc(cc1)OCCCCCCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0765
*c1ccc(cc1)OCCCCCCCCCCCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.0686
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.1
FC(C(C(F)(F)F)(c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)*)(F)F,0.131
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.105
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.098
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccccc1Oc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.1
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.097
*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(=O)Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.103
*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(=O)Nc1ccc(cc1)NC(=O)c1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.104
*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.103
*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*)(C)C,0.101
*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.102
*c1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C(C1=O)CC(CC2)C1CCC2C(C1)C(=O)N(C2=O)*)(C)C,0.07745
*c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C(C1=O)CC(CC2)C1CCC2C(C1)C(=O)N(C2=O)*,0.07795
*c1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C(C1=O)CC(CC2)C1CCC2C(C1)C(=O)N(C2=O)*,0.0863
